trial,prob,p,P,S,alpha,lambda
78,0.9999999991775795,0.5,70,0,2,0.5
79,0.999999999370473,0.5,70,0,2,0.5
80,0.9999999995181246,0.5,70,0,2,0.5
81,0.9999999996311454,0.5,70,0,2,0.5
82,0.9999999997176579,0.5,70,0,2,0.5
83,0.9999999997838794,0.5,70,0,2,0.5
84,0.9999999998345691,0.5,70,0,2,0.5
85,0.9999999998733698,0.5,70,0,2,0.5
86,0.9999999999030702,0.5,70,0,2,0.5
87,0.9999999999258045,0.5,70,0,2,0.5
88,0.9999999999432065,0.5,70,0,2,0.5
89,0.9999999999565271,0.5,70,0,2,0.5
90,0.9999999999667234,0.5,70,0,2,0.5
91,0.9999999999745282,0.5,70,0,2,0.5
92,0.9999999999805025,0.5,70,0,2,0.5
93,0.9999999999850755,0.5,70,0,2,0.5
94,0.9999999999885759,0.5,70,0,2,0.5
95,0.9999999999912553,0.5,70,0,2,0.5
96,0.9999999999933064,0.5,70,0,2,0.5
97,0.9999999999948763,0.5,70,0,2,0.5
98,0.999999999996078,0.5,70,0,2,0.5
99,0.999999999996998,0.5,70,0,2,0.5
100,0.9999999999977021,0.5,70,0,2,0.5
0,0,0.6,70,0,2,0.5
1,0.2983934548104876,0.6,70,0,2,0.5
2,0.5073852317031915,0.6,70,0,2,0.5
3,0.6536170863111093,0.6,70,0,2,0.5
4,0.7548589505110028,0.6,70,0,2,0.5
5,0.8253506811237916,0.6,70,0,2,0.5
6,0.8750556274479613,0.6,70,0,2,0.5
7,0.9104747460618396,0.6,70,0,2,0.5
8,0.9358529034427207,0.6,70,0,2,0.5
9,0.9540625780569646,0.6,70,0,2,0.5
10,0.9671206935014799,0.6,70,0,2,0.5
11,0.9764743928945425,0.6,70,0,2,0.5
12,0.9831689793389611,0.6,70,0,2,0.5
13,0.9879584335138055,0.6,70,0,2,0.5
14,0.991384591723192,0.6,70,0,2,0.5
15,0.9938356501814459,0.6,70,0,2,0.5
16,0.9955892828647901,0.6,70,0,2,0.5
17,0.9968440175485961,0.6,70,0,2,0.5
18,0.9977418152275829,0.6,70,0,2,0.5
19,0.998384218366177,0.6,70,0,2,0.5
20,0.9988438760626145,0.6,70,0,2,0.5
